Rk,Player Name,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Bradley Beal,24,65,2384,19.2,0.566,0.353,0.254,2.4,11.5,7,21.2,1.6,1.1,11.2,28.1,4,2.1,6.1,0.123,3,-0.9,2.1,2.5
2,Otto Porter,24,61,1959,18.6,0.601,0.35,0.154,4.9,17.7,11.3,10.1,2.5,1.3,6.7,18.4,4.3,2.6,7,0.171,2.7,1.3,4,2.9
3,Kelly Oubre,22,64,1775,12.3,0.553,0.466,0.286,3.1,15.4,9.3,6,1.5,1.3,9.4,18.8,1.6,1.8,3.4,0.093,-0.4,-0.6,-1,0.5
4,Marcin Gortat,33,65,1681,14.7,0.543,0,0.289,9.7,24.2,17,10.3,1,2.4,13,15.5,2,2.1,4,0.116,-1.6,1.9,0.2,1
5,Markieff Morris,28,56,1504,13.1,0.57,0.299,0.181,4.5,20,12.3,10,1.5,1.6,14.9,18.9,0.9,1.8,2.7,0.086,-1.1,0.7,-0.3,0.6
6,John Wall,27,37,1269,19.1,0.511,0.245,0.366,1.8,9.9,5.9,43,1.9,2.9,15.9,28.9,1.2,1.3,2.5,0.095,1.4,0,1.5,1.1
7,Tomas Satoransky,26,56,1134,16,0.633,0.291,0.272,4.7,9.9,7.3,24.7,1.6,0.7,15.7,13.8,2.8,0.9,3.7,0.158,1.7,-0.5,1.2,0.9
8,Mike Scott,29,60,1096,13.5,0.609,0.324,0.134,3.6,15.5,9.6,7.5,1,0.7,13.4,19.8,1,0.9,1.9,0.084,-0.7,-1.6,-2.3,-0.1
9,Ian Mahinmi,31,63,935,12.1,0.621,0.005,0.603,12.9,16.8,14.8,6.4,1.5,3.4,25.3,14.7,0.8,1.2,2,0.104,-2,1.8,-0.2,0.4
10,Jodie Meeks,30,62,913,11.5,0.53,0.537,0.318,1.7,10.3,6.1,8.6,1.4,0.4,8,18.6,0.8,0.7,1.4,0.076,-0.8,-2.1,-3,-0.2
11,Tim Frazier,27,50,751,11.5,0.481,0.329,0.181,2.6,12.5,7.6,31.3,2.7,0.8,24.1,12.9,0.4,0.9,1.3,0.082,-2.2,0.3,-1.9,0
12,Jason Smith,31,25,223,6.5,0.404,0.258,0.191,8.2,12.6,10.4,7.8,0.7,4,11.1,21.4,-0.3,0.2,-0.1,-0.027,-5.7,-0.7,-6.4,-0.2
13,Chris McCullough,22,19,90,15.9,0.478,0.19,0.333,8.8,22.4,15.7,7.1,0,4.9,4,24.5,0.1,0.1,0.2,0.085,-3.7,-1.7,-5.4,-0.1
14,Ramon Sessions,31,1,13,5.9,0.444,0.2,0.8,0,0,0,10.2,3.8,0,22.8,29.7,0,0,0,-0.123,-10.4,-4.7,-15.1,0
