G,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,JW_Active
9,40,85,0.471,11,23,0.478,16,23,0.696,11,35,46,19,9,3,17,26,107,N
16,34,81,0.42,11,19,0.579,12,21,0.571,8,35,43,20,5,3,14,12,91,N
19,41,89,0.461,8,23,0.348,15,16,0.938,7,30,37,20,9,4,11,17,105,N
20,36,83,0.434,10,28,0.357,10,17,0.588,9,35,44,23,5,4,7,16,92,N
21,36,89,0.404,9,22,0.409,32,37,0.865,7,28,35,22,8,4,11,42,113,N
22,43,89,0.483,7,21,0.333,16,19,0.842,16,33,49,28,12,6,11,20,109,N
23,23,80,0.288,4,20,0.2,19,23,0.826,12,19,31,9,8,2,13,21,69,N
24,42,89,0.472,11,25,0.44,11,14,0.786,11,33,44,20,16,6,9,22,106,N
25,41,81,0.506,8,21,0.381,19,25,0.76,8,30,38,25,6,4,10,23,109,N
26,42,82,0.512,13,32,0.406,15,23,0.652,9,35,44,33,5,2,13,18,112,N
27,38,95,0.4,4,22,0.182,18,22,0.818,12,37,49,18,8,3,10,26,98,N
49,49,85,0.576,18,32,0.563,13,14,0.929,7,31,38,40,7,6,12,21,129,N
50,34,89,0.382,7,25,0.28,27,29,0.931,7,36,43,27,8,7,12,28,102,N
51,44,85,0.518,10,30,0.333,24,26,0.923,12,32,44,30,10,2,16,21,122,N
52,46,85,0.541,7,26,0.269,16,18,0.889,12,26,38,35,14,6,14,19,115,N
53,45,82,0.549,7,25,0.28,14,17,0.824,7,36,43,29,8,1,14,23,111,N
54,41,93,0.441,7,27,0.259,13,18,0.722,16,23,39,23,14,2,11,18,102,N
55,38,95,0.4,12,26,0.462,16,20,0.8,17,35,52,28,11,4,20,23,104,N
56,38,82,0.463,13,38,0.342,12,14,0.857,6,35,41,31,8,3,13,17,101,N
57,48,88,0.545,7,22,0.318,15,19,0.789,6,39,45,31,7,9,11,16,118,N
58,44,92,0.478,12,30,0.4,10,10,1,9,34,43,29,9,3,10,23,110,N
59,40,81,0.494,9,25,0.36,16,17,0.941,6,30,36,25,3,0,14,21,105,N
60,43,79,0.544,12,25,0.48,11,12,0.917,10,38,48,35,9,6,19,28,109,N
61,42,88,0.477,7,20,0.35,16,22,0.727,9,31,40,30,9,6,11,22,107,N
62,36,90,0.4,11,32,0.344,18,21,0.857,18,33,51,25,6,4,16,24,101,N
63,36,79,0.456,9,24,0.375,14,21,0.667,15,32,47,24,2,5,17,25,95,N
64,35,83,0.422,10,27,0.37,15,19,0.789,10,32,42,21,9,2,14,21,95,N
65,40,79,0.506,14,24,0.583,23,27,0.852,7,33,40,25,7,2,18,22,117,N
