G,Date,Tip-Off,Home/Away,Road,Opponent,OppID,WizResult,Result,Overtime,OppResult,WizPts,OppPts,Wins,Losses,Streak,JW_Active
1,Wed Oct 18 2017,7:00p ET,H,,Philadelphia 76ers,PHI,W,1,,L,120,115,1,0,W 1,Y
2,Fri Oct 20 2017,7:00p ET,H,,Detroit Pistons,DET,W,1,,L,115,111,2,0,W 2,Y
3,Mon Oct 23 2017,9:00p ET,A,@,Denver Nuggets,DEN,W,1,,L,109,104,3,0,W 3,Y
4,Wed Oct 25 2017,10:30p ET,A,@,Los Angeles Lakers,LAL,L,0,OT,W,99,102,3,1,L 1,Y
5,Fri Oct 27 2017,10:30p ET,A,@,Golden State Warriors,GSW,L,0,,W,117,120,3,2,L 2,Y
6,Sun Oct 29 2017,6:00p ET,A,@,Sacramento Kings,SAC,W,1,,L,110,83,4,2,W 1,Y
7,Wed Nov 1 2017,7:00p ET,H,,Phoenix Suns,PHX,L,0,,W,116,122,4,3,L 1,Y
8,Fri Nov 3 2017,7:00p ET,H,,Cleveland Cavaliers,CLE,L,0,,W,122,130,4,4,L 2,Y
9,Sun Nov 5 2017,6:00p ET,A,@,Toronto Raptors,TOR,W,1,,L,107,96,5,4,W 1,N
10,Tue Nov 7 2017,7:00p ET,H,,Dallas Mavericks,DAL,L,0,,W,99,113,5,5,L 1,Y
11,Thu Nov 9 2017,7:00p ET,H,,Los Angeles Lakers,LAL,W,1,,L,111,95,6,5,W 1,Y
12,Sat Nov 11 2017,7:00p ET,H,,Atlanta Hawks,ATL,W,1,,L,113,94,7,5,W 2,Y
13,Mon Nov 13 2017,7:00p ET,H,,Sacramento Kings,SAC,W,1,,L,110,92,8,5,W 3,Y
14,Wed Nov 15 2017,7:30p ET,A,@,Miami Heat,MIA,W,1,,L,102,93,9,5,W 4,Y
15,Fri Nov 17 2017,7:00p ET,H,,Miami Heat,MIA,L,0,,W,88,91,9,6,L 1,Y
